Country;Continent
Mauritius;Africa
Libya;Africa
Nigeria;Africa
Algeria;Africa
Morocco;Africa
Cameroon;Africa
Ghana;Africa
Ivory Coast;Africa
Benin;Africa
Congo (Brazzaville);Africa
Gabon;Africa
South Africa;Africa
Senegal;Africa
Somalia;Africa
Namibia;Africa
Niger;Africa
Burkina Faso;Africa
Guinea;Africa
Gambia;Africa
Kenya;Africa
Mauritania;Africa
Mozambique;Africa
Tunisia;Africa
Congo (Kinshasa);Africa
Mali;Africa
Sierra Leone;Africa
Chad;Africa
Ethiopia;Africa
Swaziland;Africa
Uganda;Africa
Egypt;Africa
Zambia;Africa
Togo;Africa
Liberia;Africa
Comoros;Africa
Madagascar;Africa
Lesotho;Africa
Burundi;Africa
Zimbabwe;Africa
Botswana;Africa
Malawi;Africa
Rwanda;Africa
Tanzania;Africa
Central African Republic;Africa
South Sudan;Africa
New Zealand;Australia
Australia;Australia
Finland;Euroasia
Denmark;Euroasia
Norway;Euroasia
Iceland;Euroasia
Netherlands;Euroasia
Switzerland;Euroasia
Sweden;Euroasia
Austria;Euroasia
Israel;Euroasia
Luxembourg;Euroasia
United Kingdom;Euroasia
Ireland;Euroasia
Germany;Euroasia
Belgium;Euroasia
Czech Republic;Euroasia
United Arab Emirates;Euroasia
Malta;Euroasia
France;Euroasia
Taiwan;Euroasia
Saudi Arabia;Euroasia
Qatar;Euroasia
Spain;Euroasia
Singapore;Euroasia
Italy;Euroasia
Bahrain;Euroasia
Slovakia;Euroasia
Poland;Euroasia
Uzbekistan;Euroasia
Lithuania;Euroasia
Slovenia;Euroasia
Kosovo;Euroasia
Romania;Euroasia
Cyprus;Euroasia
Kuwait;Euroasia
Thailand;Euroasia
Latvia;Euroasia
South Korea;Euroasia
Estonia;Euroasia
Japan;Euroasia
Kazakhstan;Euroasia
Hungary;Euroasia
Northern Cyprus;Euroasia
Portugal;Euroasia
Pakistan;Euroasia
Russia;Euroasia
Philippines;Euroasia
Serbia;Euroasia
Moldova;Euroasia
Montenegro;Euroasia
Tajikistan;Euroasia
Croatia;Euroasia
Hong Kong;Euroasia
Bosnia and Herzegovina ;Euroasia
Turkey;Euroasia
Malaysia;Euroasia
Belarus;Euroasia
Greece;Euroasia
Mongolia;Euroasia
Macedonia;Euroasia
Kyrgyzstan;Euroasia
Turkmenistan;Euroasia
Azerbaijan;Euroasia
Lebanon;Euroasia
Indonesia;Euroasia
China;Euroasia
Vietnam;Euroasia
Bhutan;Euroasia
Bulgaria;Euroasia
Nepal;Euroasia
Jordan;Euroasia
Laos;Euroasia
Albania;Euroasia
Cambodia;Euroasia
Palestinian Territories;Euroasia
Armenia;Euroasia
Iran;Euroasia
Georgia;Euroasia
Bangladesh;Euroasia
Iraq;Euroasia
Sri Lanka;Euroasia
Myanmar;Euroasia
Ukraine;Euroasia
India;Euroasia
Syria;Euroasia
Yemen;Euroasia
Afghanistan;Euroasia
Canada;North America
Costa Rica;North America
United States;North America
Mexico;North America
Guatemala;North America
Panama;North America
El Salvador;North America
Trinidad and Tobago;North America
Nicaragua;North America
Jamaica;North America
Honduras;North America
Dominican Republic;North America
Haiti;North America
Chile;South America
Brazil;South America
Uruguay;South America
Colombia;South America
Argentina;South America
Ecuador;South America
Bolivia;South America
Paraguay;South America
Peru;South America
Venezuela;South America
